outlet,year,n_sampled,n_bylines,n_named_bylines,top1_is_desk,unattributed_share,top1_share,top2_share,top3_share,median_words,published,days,implied_articles,implied_words_per_day
rte,2019,1420,93,92,True,0.0,0.5626760563380282,0.5809859154929577,0.5985915492957746,317.0,16764.0,365,,
rte,2020,1402,86,85,True,0.0,0.5891583452211127,0.6098430813124108,0.6291012838801712,371.0,19299.0,365,,
rte,2021,1452,93,92,True,0.0,0.6101928374655647,0.6425619834710744,0.6666666666666666,401.0,19855.0,365,,
rte,2022,1403,90,89,True,0.0,0.5744832501781896,0.5930149679258732,0.6115466856735566,381.0,19092.0,365,,
rte,2023,1381,84,82,True,0.0,0.5481535119478639,0.5706010137581463,0.5930485155684286,427.0,19350.0,365,,
rte,2024,1380,89,87,True,0.0,0.5702898550724638,0.5920289855072464,0.6130434782608696,409.0,19736.0,365,,
rte,2025,1960,111,108,True,0.0,0.511734693877551,0.5352040816326531,0.5561224489795918,425.5,18929.0,365,,
rte,2026,818,77,76,True,0.0,0.49511002444987773,0.5220048899755502,0.5476772616136919,432.0,7591.0,160,,
irish_examiner,2019,1435,182,179,True,0.16933797909407666,0.18536585365853658,0.35470383275261325,0.39372822299651566,440.0,39694.0,365,,
irish_examiner,2020,1437,353,318,True,0.061934585942936674,0.12247738343771747,0.18441196938065413,0.2164231036882394,436.0,47479.0,365,,
irish_examiner,2021,1438,490,448,True,0.06675938803894298,0.06675938803894298,0.10361613351877608,0.12378303198887343,500.0,54846.0,365,,
irish_examiner,2022,1369,530,482,True,0.06428049671292914,0.06428049671292914,0.09569028487947406,0.1212563915266618,529.0,54753.0,365,,
irish_examiner,2023,1398,1,0,True,1.0,1.0,1.0,1.0,526.0,53564.0,365,,
irish_examiner,2024,1364,531,501,True,0.05791788856304985,0.05791788856304985,0.11070381231671554,0.13269794721407624,533.5,50642.0,365,,
irish_examiner,2025,1935,681,650,True,0.056847545219638244,0.056847545219638244,0.08527131782945736,0.11007751937984496,566.0,43619.0,365,,
irish_examiner,2026,840,343,327,True,0.06666666666666667,0.06666666666666667,0.10238095238095238,0.13095238095238096,581.5,16875.0,160,,
the_liberal,2019,1442,7,7,False,0.0,0.3391123439667129,0.6511789181692095,0.8945908460471568,214.0,6776.0,365,2297.8252427184466,1347.2180875116371
the_liberal,2020,1430,7,7,False,0.0,0.3503496503496504,0.6923076923076923,0.8909090909090909,95.0,8056.0,365,2822.4167832167836,734.6016285084779
the_liberal,2021,1428,5,5,False,0.0,0.35714285714285715,0.6967787114845938,0.8683473389355743,94.5,7360.0,365,2628.5714285714284,680.5479452054794
the_liberal,2022,1383,9,9,False,0.0,0.46493130874909616,0.8987707881417208,0.9486623282718727,94.0,5732.0,365,2664.9862617498193,686.3252290533782
the_liberal,2023,1485,5,5,False,0.0,0.4161616161616162,0.7016835016835017,0.9757575757575757,132.0,5525.0,365,2299.2929292929293,831.5251141552512
the_liberal,2024,1433,4,4,False,0.0,0.7166782972784368,0.9197487787857641,0.9881367759944173,205.0,3473.0,365,2489.023726448011,1397.9448326625816
the_liberal,2025,1885,3,3,False,0.0,0.6885941644562334,0.9909814323607427,1.0,362.0,4390.0,365,3022.928381962865,2998.0823952618002
the_liberal,2026,730,2,2,False,0.0,0.7136986301369863,1.0,1.0,397.5,1919.0,160,1369.5876712328768,3402.5693707191786
gript,2019,388,24,23,True,0.0,0.36082474226804123,0.5798969072164949,0.7010309278350515,431.5,416.0,365,,
gript,2020,1211,25,24,True,0.0,0.3781998348472337,0.5441783649876135,0.6556564822460776,454.0,1161.0,365,,
gript,2021,1514,34,33,True,0.0,0.38639365918097757,0.5383091149273448,0.6420079260237781,481.5,5012.0,365,,
gript,2022,2662,30,29,False,0.0,0.17806160781367392,0.3482344102178813,0.5030052592036063,716.5,3306.0,365,588.6716754320059,1155.5705628685816
gript,2023,1459,35,34,False,0.0,0.14599040438656613,0.2837559972583962,0.4119259766963674,744.0,3274.0,365,477.9725839616175,974.2783629245024
gript,2024,1430,37,36,False,0.0,0.13286713286713286,0.26573426573426573,0.3888111888111888,716.0,3914.0,365,520.0419580419581,1020.1371012549097
gript,2025,1809,34,33,False,0.0,0.1691542288557214,0.3244886677722499,0.44720840243228305,741.0,3688.0,365,623.8407960199005,1266.4822735636885
gript,2026,743,29,28,False,0.0,0.17227456258411844,0.34185733512786004,0.4993270524899058,668.0,1706.0,160,293.90040376850607,1227.034185733513
