prompt_id,outlet,period,section,headline
p0000,gript,post,Comment Ireland|Featured,Dispute over Irish language signage exposes flaws in the scheme for a diverse Six Counties
p0001,gript,post,Irish News,Fundraiser for “gentle” girl who died in River tragedy
p0002,gript,post,Irish News,Public meeting in Meath to hear there has been ‘spiral’ of crime and anti-social behaviour
p0003,gript,post,World News,Study: 95% of young women on testosterone for sex change developed pelvic floor dysfunction
p0004,gript,post,World News,Musk says Twitter interfered in elections
p0005,gript,post,Featured|Irish News,O’Callaghan won’t automatically deport all jailed migrants
p0006,gript,post,Featured|News|World News,Study: Economic fears of ageing societies overblown
p0007,gript,post,Featured|News,Jim Moore (85) charged with murder of Patricia Aust (81) in Bangor
p0008,gript,post,Featured|Irish News,"Fitzmaurice, Mullooly protest EU-Mercosur deal in Brussels"
p0009,gript,post,Comment Ireland|Featured,The housing crisis threatening An Ghaeltacht
p0010,gript,post,Culture|Featured,Why Santa Claus is historically associated with cats
p0011,gript,post,Featured|Irish News,"BREAKING: Son charged with murder of parents, brother"
p0012,gript,post,Featured|Irish News,Dáil votes to accept report recommending legislating for assisted suicide
p0013,gript,post,Featured|Irish News,Sinn Féin slammed for Mermaids fundraiser over puberty blocker stance
p0014,gript,post,Comment Ireland|Featured,"Numbers claiming asylum across EU fall, but rise in Ireland"
p0015,gript,post,Featured|World News,Why are America and Venezuela on the cusp of war?
p0016,gript,post,Comment Ireland|Featured,Tom McDonnell emerges with Tricolour flying in the nail-biting Battle of Newbridge
p0017,gript,post,Comment Ireland|Featured,MCGUIRK: It’s time to stand up to “Big Gay”
p0018,gript,post,Comment|Featured|Highlights,EU to Use COVID Pass Sequel for Online Censorship
p0019,gript,post,Comment World|Podcast,PODCAST: John Aidan Byrne on Odeon Capital Conversations on the effect of the demographic change on the economy
p0020,gript,post,Comment Ireland|Featured,Democracy? Kildare asylum centre for 950 will be bulldozed through despite local protests
p0021,gript,post,Comment Ireland,Therapy Culture: Do we live in an age of over-diagnosis?
p0022,gript,post,Irish News,€8 million to be spent bringing academics to Ireland
p0023,gript,post,Featured|Irish News,Dáil paralysis: Ceann Comhairle demands progress on speaking rights
p0024,gript,post,Featured|Irish News,It’s Christmas! Huge backlash to DCC ‘Winter Lights’
p0025,gript,post,Featured|News|World News,European Commission announces ‘Democracy Shield’
p0026,gript,post,Irish News,“Urgent need to reassess means test income threshold for carers.” Carol Nolan
p0027,gript,post,Featured|Irish News,Libyan-born ‘Blood on Their Hands’ suspect last seen in Dublin
p0028,gript,post,Culture|Why I left the Left,No Good Deed Goes Unpunished
p0029,gript,post,Featured|Irish News,Michael D. Higgins to attend coronation of UK’s King Charles
p0030,gript,post,Comment Ireland|Featured,IHREC refugee case shows why “Right To Housing” would end badly
p0031,gript,post,Irish News,€50 million will be spent in 2024 to develop model of HSE refugee and migrant health care
p0032,gript,post,Comment World,Are we entering an age of decay as birth rates fall?
p0033,gript,post,Featured|World News,Liberal Democrat party leader says a woman can “quite clearly” have a penis
p0034,gript,post,Irish News,"Irish people joint fourth biggest users of cocaine globally, UN study finds"
p0035,gript,post,Featured|Irish News,TD calls for State to be able to audit taxpayer-funded NGOs
p0036,gript,post,Featured|Irish News,Poland will no longer supply weapons to Ukraine after grain row
p0037,gript,post,Featured|Irish News,Helen McEntee says opposition to hate speech bill based on “disinformation”
p0038,gript,post,Featured|Irish News,Ukrainian charged in connection with fatal assault on man in asylum centre
p0039,gript,post,Comment World,Disability rights groups launch lawsuit to quash California’s assisted suicide law
p0040,gript,post,Featured|Irish News|News,"Wexford: Boil Water Notice issued for 22,000 customers"
p0041,gript,post,Comment Ireland|Featured,Local businesses on Ennis 2040 plan: “Their vision is our nightmare”
p0042,gript,post,Featured|Irish News|News,New fund aims to help “marginalised” leaders to “support systemic reforms”
