detector,outlet,fpr_target,band,n_reference,estimable,tpr
binoculars,rte,0.01,300-600,36887,True,0.5482961476943097
binoculars,rte,0.01,600-inf,3111,True,0.10896817743490839
binoculars,rte,0.01,150-300,3197,True,0.5261182358461057
binoculars,rte,0.01,0-150,21,False,
binoculars,rte,0.05,300-600,36887,True,0.7526228752677095
binoculars,rte,0.05,600-inf,3111,True,0.1915782706525233
binoculars,rte,0.05,150-300,3197,True,0.7832342821395057
binoculars,rte,0.05,0-150,21,False,
binoculars,irish_examiner,0.01,300-600,36887,True,0.6456475180958061
binoculars,irish_examiner,0.01,600-inf,3111,True,0.13532626165220185
binoculars,irish_examiner,0.01,150-300,3197,True,0.6502971535814827
binoculars,irish_examiner,0.01,0-150,21,False,
binoculars,irish_examiner,0.05,300-600,36887,True,0.782172581126142
binoculars,irish_examiner,0.05,600-inf,3111,True,0.21600771456123433
binoculars,irish_examiner,0.05,150-300,3197,True,0.8204566781357523
binoculars,irish_examiner,0.05,0-150,21,False,
binoculars,the_liberal,0.01,300-600,36887,True,0.21579418223222274
binoculars,the_liberal,0.01,600-inf,3111,True,0.03857280617164899
binoculars,the_liberal,0.01,150-300,3197,True,0.2020644354081952
binoculars,the_liberal,0.01,0-150,21,False,
binoculars,the_liberal,0.05,300-600,36887,True,0.586602326022718
binoculars,the_liberal,0.05,600-inf,3111,True,0.11957569913211186
binoculars,the_liberal,0.05,150-300,3197,True,0.5699092899593369
binoculars,the_liberal,0.05,0-150,21,False,
binoculars,gript,0.01,300-600,36887,True,0.7508336270230704
binoculars,gript,0.01,600-inf,3111,True,0.18997107039537126
binoculars,gript,0.01,150-300,3197,True,0.7807319361901783
binoculars,gript,0.01,0-150,21,False,
binoculars,gript,0.05,300-600,36887,True,0.8036164502399219
binoculars,gript,0.05,600-inf,3111,True,0.23786563805850208
binoculars,gript,0.05,150-300,3197,True,0.8454801376290272
binoculars,gript,0.05,0-150,21,False,
fastdetectgpt,rte,0.01,300-600,36887,True,0.6095643451622523
fastdetectgpt,rte,0.01,600-inf,3111,True,0.15461266473802635
fastdetectgpt,rte,0.01,150-300,3197,True,0.5573975602126994
fastdetectgpt,rte,0.01,0-150,21,False,
fastdetectgpt,rte,0.05,300-600,36887,True,0.7387426464608128
fastdetectgpt,rte,0.05,600-inf,3111,True,0.2066859530697525
fastdetectgpt,rte,0.05,150-300,3197,True,0.737566468564279
fastdetectgpt,rte,0.05,0-150,21,False,
fastdetectgpt,irish_examiner,0.01,300-600,36887,True,0.6311437633854745
fastdetectgpt,irish_examiner,0.01,600-inf,3111,True,0.16104146576663453
fastdetectgpt,irish_examiner,0.01,150-300,3197,True,0.5827338129496403
fastdetectgpt,irish_examiner,0.01,0-150,21,False,
fastdetectgpt,irish_examiner,0.05,300-600,36887,True,0.7703255889608805
fastdetectgpt,irish_examiner,0.05,600-inf,3111,True,0.22854387656702024
fastdetectgpt,irish_examiner,0.05,150-300,3197,True,0.7844854551141696
fastdetectgpt,irish_examiner,0.05,0-150,21,False,
fastdetectgpt,the_liberal,0.01,300-600,36887,True,0.6285683303060698
fastdetectgpt,the_liberal,0.01,600-inf,3111,True,0.1607200257152041
fastdetectgpt,the_liberal,0.01,150-300,3197,True,0.5786675007819831
fastdetectgpt,the_liberal,0.01,0-150,21,False,
fastdetectgpt,the_liberal,0.05,300-600,36887,True,0.7519993493642747
fastdetectgpt,the_liberal,0.05,600-inf,3111,True,0.21632915461266475
fastdetectgpt,the_liberal,0.05,150-300,3197,True,0.7563340631842352
fastdetectgpt,the_liberal,0.05,0-150,21,False,
fastdetectgpt,gript,0.01,300-600,36887,True,0.6518827771301543
fastdetectgpt,gript,0.01,600-inf,3111,True,0.16682738669238187
fastdetectgpt,gript,0.01,150-300,3197,True,0.6090084454175789
fastdetectgpt,gript,0.01,0-150,21,False,
fastdetectgpt,gript,0.05,300-600,36887,True,0.7496136850380893
fastdetectgpt,gript,0.05,600-inf,3111,True,0.21311475409836064
fastdetectgpt,gript,0.05,150-300,3197,True,0.7535189239912418
fastdetectgpt,gript,0.05,0-150,21,False,
perplexity,rte,0.01,300-600,36887,True,0.8056225770596687
perplexity,rte,0.01,600-inf,3111,True,0.420443587270974
perplexity,rte,0.01,150-300,3197,True,0.6152643102908977
perplexity,rte,0.01,0-150,21,False,
perplexity,rte,0.05,300-600,36887,True,0.9099682815083905
perplexity,rte,0.05,600-inf,3111,True,0.681131468981035
perplexity,rte,0.05,150-300,3197,True,0.7685329996872068
perplexity,rte,0.05,0-150,21,False,
perplexity,irish_examiner,0.01,300-600,36887,True,0.7753409060102475
perplexity,irish_examiner,0.01,600-inf,3111,True,0.3641915782706525
perplexity,irish_examiner,0.01,150-300,3197,True,0.5714732561776665
perplexity,irish_examiner,0.01,0-150,21,False,
perplexity,irish_examiner,0.05,300-600,36887,True,0.9139805351478841
perplexity,irish_examiner,0.05,600-inf,3111,True,0.6972034715525555
perplexity,irish_examiner,0.05,150-300,3197,True,0.7763528307788552
perplexity,irish_examiner,0.05,0-150,21,False,
perplexity,the_liberal,0.01,300-600,36887,True,0.7727112532870659
perplexity,the_liberal,0.01,600-inf,3111,True,0.3600128576020572
perplexity,the_liberal,0.01,150-300,3197,True,0.5680325304973413
perplexity,the_liberal,0.01,0-150,21,False,
perplexity,the_liberal,0.05,300-600,36887,True,0.9205953316886708
perplexity,the_liberal,0.05,600-inf,3111,True,0.7200257152041144
perplexity,the_liberal,0.05,150-300,3197,True,0.7866750078198311
perplexity,the_liberal,0.05,0-150,21,False,
perplexity,gript,0.01,300-600,36887,True,0.9075012877165397
perplexity,gript,0.01,600-inf,3111,True,0.6743812279009964
perplexity,gript,0.01,150-300,3197,True,0.7647794807632156
perplexity,gript,0.01,0-150,21,False,
perplexity,gript,0.05,300-600,36887,True,0.9655434163797544
perplexity,gript,0.05,600-inf,3111,True,0.9038894246223079
perplexity,gript,0.05,150-300,3197,True,0.896152643102909
perplexity,gript,0.05,0-150,21,False,
