detector,outlet,fpr_target,model,n,tpr
binoculars,rte,0.01,claude-opus-4-6,150,0.06666666666666667
binoculars,rte,0.01,gpt-4.1,150,0.0
binoculars,rte,0.01,gpt2-large,148,0.9121621621621622
binoculars,rte,0.01,gptneo-1.3b,149,0.8859060402684564
binoculars,rte,0.01,llama2-7b,150,0.8866666666666667
binoculars,rte,0.01,mistral-7b,150,0.78
binoculars,rte,0.01,qwen2.5-7b,150,0.16666666666666666
binoculars,irish_examiner,0.01,claude-opus-4-6,149,0.10738255033557047
binoculars,irish_examiner,0.01,gpt-4.1,150,0.03333333333333333
binoculars,irish_examiner,0.01,gpt2-large,141,0.9929078014184397
binoculars,irish_examiner,0.01,gptneo-1.3b,147,0.9795918367346939
binoculars,irish_examiner,0.01,llama2-7b,149,0.9194630872483222
binoculars,irish_examiner,0.01,mistral-7b,150,0.9
binoculars,irish_examiner,0.01,qwen2.5-7b,150,0.42
binoculars,the_liberal,0.01,claude-opus-4-6,150,0.0
binoculars,the_liberal,0.01,gpt-4.1,150,0.0
binoculars,the_liberal,0.01,gpt2-large,147,0.5850340136054422
binoculars,the_liberal,0.01,gptneo-1.3b,147,0.4897959183673469
binoculars,the_liberal,0.01,llama2-7b,148,0.13513513513513514
binoculars,the_liberal,0.01,mistral-7b,150,0.26
binoculars,the_liberal,0.01,qwen2.5-7b,150,0.0
binoculars,gript,0.01,claude-opus-4-6,150,0.21333333333333335
binoculars,gript,0.01,gpt-4.1,150,0.06666666666666667
binoculars,gript,0.01,gpt2-large,142,0.9859154929577465
binoculars,gript,0.01,gptneo-1.3b,150,0.9933333333333333
binoculars,gript,0.01,llama2-7b,145,0.993103448275862
binoculars,gript,0.01,mistral-7b,150,0.9066666666666666
binoculars,gript,0.01,qwen2.5-7b,150,0.6733333333333333
binoculars,(all),0.01,claude-opus-4-6,599,0.09682804674457429
binoculars,(all),0.01,gpt-4.1,600,0.025
binoculars,(all),0.01,gpt2-large,578,0.8667820069204152
binoculars,(all),0.01,gptneo-1.3b,593,0.8381112984822934
